CodigoNacional,Latitud,Longitud,Altura
180005,-18.35555,-70.34028,51
200006,-20.54917,-70.18111,48
220002,-22.49806,-68.8925,"2,326"
230001,-23.45361,-70.44528,139
270001,-27.15889,-109.4325,69
270008,-27.25444,-70.78111,204
290004,-29.91444,-71.20667,146
320041,-32.94944,-71.47611,140
320051,-32.84555,-70.11917,"2,955"
330007,-33.06528,-71.55639,335
330019,-33.45528,-70.54861,649
330020,-33.445,-70.68278,520
330021,-33.37833,-70.78778,474
330030,-33.65611,-71.61333,77
330031,-33.63583,-78.83305,40
330066,-33.66639,-78.93167,126
330077,-33.35,-70.29361,"2,750"
330111,-33.45806,-70.94861,"1,068"
330112,-33.61528,-70.35055,928
330121,-33.41111,-71.16778,203
330163,-33.11389,-70.68583,670
340031,-34.96944,-71.21694,229
360011,-36.58583,-72.03667,152
360019,-36.78055,-73.06639,8
370033,-37.39694,-72.42389,114
380029,-38.93444,-72.65333,98
390006,-39.65667,-73.08722,18
400009,-40.61444,-73.0575,57
410005,-41.4475,-73.09583,90
420014,-42.34667,-73.715,174
430002,-43.18889,-71.85222,350
430004,-43.61167,-71.80139,256
430009,-43.89778,-73.73944,11
450001,-45.39944,-72.67722,10
450004,-45.59083,-72.10222,299
450005,-45.91833,-71.67778,517
460001,-46.585,-71.68528,311
470001,-47.24389,-72.5825,196
510005,-51.66722,-72.52889,69
520006,-53.00167,-70.83861,43
530005,-53.25361,-70.32611,25
550001,-54.93167,-67.61556,12
950001,-62.19194,-58.97972,45
950002,-62.47861,-59.66417,5
950003,-63.32083,-57.89944,10
